Emozioni,PleasureMean,Pleasuresd,ArousalMean,Arousalsd,Color,Alpha
Joy,0.78,0.24,0.50,0.28,orange,1
Surprise,0.40,0.30,0.67,0.27,yellow,1
Fear,-0.63,0.21,0.70,0.42,violet,1
Neutral,0.00,0.44,0.00,0.32,grey,1
Anger,-0.50,0.26,0.65,0.35,brown,1
Sad,-0.63,0.23,-0.27,0.34,blue,1
Disgust,-0.60,0.20,0.35,0.41,red,1
Comptempt,-0.23,0.39,0.31,0.33,green,1
Nervousness-anxious,0.01,0.45,0.59,0.31,violet,0.5
Laugther-excited,0.62,0.25,0.75,0.20,orange,0.5
Shy,-0.15,0.33,0.06,0.30,blue,0.5
Relief,0.68,0.30,-0.46,0.38,orange,0.3
Irritated,-0.58,0.16,0.40,0.37,brown,0.5